897.791,40,27.6213,4.5511,29.0769,0.12907
1054.13,40,27.6073,4.62711,42.2801,0.125765
611.635,40,28.4031,4.73257,13.965,0.36101
115.594,40,29.8192,5.00055,-30.3452,0.478685
617.813,40,28.5527,4.7728,24.5343,0.337676
444.006,40,29.0333,4.81063,-22.4357,0.525188
259.53,40,29.3454,4.90036,-18.2276,0.240401
1646.81,40,25.8842,4.27965,1.82172,0.80841
526.219,40,28.581,4.6188,16.9465,0.217534
481.545,40,29.0331,4.83962,-2.95066,0.465882
128.303,40,29.6644,4.93717,28.64,0.159211
1065.29,40,27.4455,4.62321,10.7051,0.131475
201.549,40,29.5066,4.89268,1.69364,0.266907
866.982,40,27.4564,4.54532,11.9237,0.418983
670.092,40,27.9448,4.57219,-37.4122,1.49353
373.694,40,29.3475,4.90223,29.1794,0.232588
742.477,40,28.2476,4.69128,-10.8392,0.633757
435.624,40,28.8624,4.89055,39.8583,0.179144
381.911,40,29.0205,4.92974,-24.7886,1.50561
218.072,40,29.5093,4.92015,38.186,0.105814
381.376,40,29.191,4.87364,-35.1274,1.16662
265.447,40,29.1835,4.87797,-30.2344,1.05272
339.864,40,29.1816,4.904,39.6889,0.095425
179.554,40,29.6621,4.94678,-3.92602,0.425525
1104.18,40,27.1216,4.617,-18.8431,0.835916
154.776,40,29.6648,4.92063,4.86881,0.722743
348.834,40,29.3482,4.90363,-40.6737,1.22091
508.114,40,28.8754,4.81198,17.141,0.222855
209.073,40,29.4975,4.98155,20.697,0.505665
444.049,40,28.7063,4.82828,36.0599,0.103723
282.209,40,29.0382,4.81316,-0.480888,0.307319
191.359,40,29.6659,4.92552,59.477,0.0408636
409.665,40,28.8845,4.75036,40.4906,0.216913
388.553,40,29.0365,4.80294,14.9241,0.833506
310.528,40,29.0282,4.86854,7.16702,0.375124
268.452,40,29.3542,4.86725,-32.8689,1.52501
